,,Unemployment,,Poverty,,Working Poor,,FT Work Access,,Rent Burden,,Homeownership,,Income,
,,BABS,HS,BABS,HS,BABS,BABS,BABS,HS,BABS,HS,BABS,HS,BABS,HS
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",New York,0.69646403065668,0.878674060420025,1.01938769684477,1.10072886007697,#DIV/0!,0.169286577992745,0.873892652423137,1.33503305488649,#DIV/0!,0.630195932106934,#DIV/0!,0.47093664202004,0.791639533391515,1.62511660044913
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",New York,0.668159100374844,2.06064631756592,0.404275783185823,1.423606381295,0.150965878867773,#DIV/0!,1.07444764822491,0.873230794172649,0,1.15396278241856,2.34818242913462,4.54457266399158,0.690055618645857,0.519748058143769
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",New York,2.58165451054371,0,0.841102625220091,2.95704062818775,0,0,1.21742991084133,0.474943706581226,0,0.987571879057689,2.21738100131513,0.721075680371205,0.540384062406237,0.845442512553593
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",New York,1.0758082410904,1.56199143133017,1.14822477385283,2.02007578681033,0.490478444911248,1.52991287462856,0.948586686591545,0.861494026437976,3.05745600840333,1.61895957693116,0.514808426224695,0.328661858569592,0.723312620884522,0.576325099012736
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",New York,#DIV/0!,1.1221467778133,#DIV/0!,1.45735815587658,#DIV/0!,1.66515467475875,1.15195047652194,1.03065392079491,1.43433419170991,1.51984268493284,1.25521356087106,0.562068457252024,0.848691875267033,0.711802996541683
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",New York,#DIV/0!,#DIV/0!,#DIV/0!,0.638456464909441,#DIV/0!,#DIV/0!,0.950320615137284,1.01805809647804,#DIV/0!,0.41011702918006,0.618584104449233,0.256477533301974,0.658438428491873,0.643433198913041
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",New York,0.302342225113858,0.582024366258984,1.37366003805092,2.2344422547769,0.783481332551451,4.71120930744669,1.01331223541085,0.945082005279093,1.77897079512358,1.6177213264958,1.45355036095874,0.930436997126141,0.697516389144221,0.763117777643226
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",New York,1.81400875222377,0.436491323998052,1.04791262510665,0.192860969615538,0.900728185296417,0,1.02194414668133,0.953019349744576,0.847408354831943,0.196611551111002,1.0127544609178,0.525615276092599,0.955054455449596,0.459430480216661
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",New York,0.877937372218733,0.523782454738766,2.38181196927594,2.33794879938087,4.34751511469814,2.55595574342628,1.05435681238157,1.04075445274169,2.89381334674898,1.01590087592397,2.40874605225422,1.20718896036066,0.837694373217721,0.64043134109819
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",New York,1.00799400627914,2.57522164822293,11.1803169782671,1.54580917998904,#DIV/0!,#DIV/0!,1.04288700316137,0.917066504412975,6.36126830037691,1.594,1.69077377706394,0.581767548470194,0.756705320326498,0.720147351155323
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",New York,9.40818577241476,2.18021614327787,4.38596641682246,2.40226524306124,#DIV/0!,9.7973724620372,0.985655755764734,1.03652184295547,#DIV/0!,1.49166906564379,1.0584099277863,1.20990513051928,0.647338662895047,0.545778259321677
