,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",Long Island,82.7268285429015%,87.8026299619024%,79.7514493005173%,6.9170579029734%,4.60390538180664%,7.93655241991985%,6.69886735145852%,4.61088070261039%,7.34449595239743%,2.13651070823276%,0%,3.62148515713415%,67556.3268450516,83474.989852334,58643.281535649
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",Long Island,82.987466080889%,83.3189340067788%,83.0521807534307%,7.90598745081357%,4.74534307946239%,8.00593031875463%,5.4638486063972%,7.77799619946268%,3.76141151685393%,1.93385650224215%,0%,2.87307935171543%,72450.3018186348,81925.5589056393,66801.6922753105
"Suffolk County (Central)--Islip Town (East) PUMA, New York",Long Island,84.8312611012434%,89.7361226673006%,80.9476427386875%,5.18744637976098%,3.03665967435821%,6.07218077321244%,5.61018502464518%,4.32228039557883%,6.51500439265733%,0.921273031825796%,1.56964037353467%,0.415593537813159%,77640.7293910026,92129.5724220147,67136.0050339499
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",Long Island,85.1161282477403%,85.9243397573162%,86.044438785255%,16.3725318888695%,3.38941422080314%,17.1698364144168%,10.0997053243451%,4.64301357862462%,12.2956467272158%,3.04776417924663%,1.7943179930221%,2.70070292267851%,49416.4522120101,65590.2724705101,43827.6677765446
"Suffolk County (East) PUMA, New York",Long Island,82.1062906274013%,83.5405481774513%,80.7683641279856%,8.94091415830546%,2.54530969926309%,12.7933068342095%,4.29031339655286%,3.21616278509089%,4.72750882603579%,1.15169204070364%,0%,1.95952615992103%,81840.3040596939,112046.559614409,57801.8301018273
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",Long Island,80.3530210454854%,77.7027734170592%,82.8162015369504%,10.2366266199575%,7.10198733347893%,12.6092384519351%,2.88103319811243%,1.89444474091467%,4.03159742539497%,2.32848935451166%,0%,4.80708853694272%,94954.9489692464,123219.348777695,67598.8857880416
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",Long Island,84.5796655556505%,88.5305473540768%,78.0121193043205%,6.81281857655277%,1.695247812267%,13.187020500566%,5.33766270756786%,4.19523269012486%,5.99856034551708%,2.15560794880431%,0.179579271421242%,6.10309694340765%,110988.639541933,135706.644843509,63646.1414304449
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",Long Island,80.9610004936646%,82.4022346368715%,78.657440690151%,6.42734136971784%,3.3741753063148%,9.00534215212414%,3.89144218189138%,1.13871057772816%,7.67506500493141%,2.5650406504065%,0.541069100391134%,3.50736890209071%,111844.491422764,136239.763168188,74024.1656574889
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",Long Island,81.7195890237199%,84.9092356084435%,78.6159203492079%,5.07100495130312%,5.56754988550867%,3.56929127126614%,4.75116971501489%,5.45002261420172%,3.9475002504759%,1.5728883714914%,2.23164472216023%,0.673778775968557%,101507.770611823,116340.9932158,80631.4754507455
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",Long Island,84.7131475782996%,85.7250439293783%,84.6945127916284%,14.9195661494974%,8.79527503024265%,12.802362541987%,4.95944031932701%,5.61078931442898%,4.54207442220173%,6.68300122509188%,3.86530014641288%,5.61781913018961%,64672.1389296644,94626.5397755002,55592.5558277914
