,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,,,,,,,,,,,,,,,,,,,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Orange County (Southeast) PUMA, New York",4355,2446,1909,468,221,247,3887,2225,1662,1863,1185,678,79,0,79,1784,1185,599,1881,714,1167,104,0,104,1777,714,1063,611,547,64,285,221,64,326,326,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Rockland County (North)--New City & Congers PUMA, New York",8750,3875,4875,1711,254,1457,7039,3621,3418,3431,1355,2076,1052,0,1052,2379,1355,1024,4217,2017,2200,517,254,263,3700,1763,1937,1102,503,599,142,0,142,960,503,457,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",5786,2779,3007,439,0,439,5347,2779,2568,2761,1476,1285,138,0,138,2623,1476,1147,2350,941,1409,301,0,301,2049,941,1108,675,362,313,0,0,0,675,362,313,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",8993,5028,3965,1316,329,987,7677,4699,2978,2517,1651,866,226,0,226,2291,1651,640,5191,2614,2577,856,189,667,4335,2425,1910,1285,763,522,234,140,94,1051,623,428,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Putnam County PUMA, New York",6188,3191,2997,1408,550,858,4780,2641,2139,2557,913,1644,482,89,393,2075,824,1251,2542,1577,965,751,390,361,1791,1187,604,1089,701,388,175,71,104,914,630,284,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Westchester County (Northwest) PUMA, New York",11413,5395,6018,2309,761,1548,9104,4634,4470,5367,2449,2918,876,284,592,4491,2165,2326,5315,2405,2910,1289,477,812,4026,1928,2098,731,541,190,144,0,144,587,541,46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Westchester County (Northeast) PUMA, New York",8374,4131,4243,764,77,687,7610,4054,3556,4237,1759,2478,224,0,224,4013,1759,2254,2872,1107,1765,540,77,463,2332,1030,1302,1265,1265,0,0,0,0,1265,1265,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Westchester County (Southeast) PUMA, New York",15658,9828,5830,2161,728,1433,13497,9100,4397,6799,4408,2391,245,0,245,6554,4408,2146,6493,3586,2907,1578,599,979,4915,2987,1928,2366,1834,532,338,129,209,2028,1705,323,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Westchester County (Central)--White Plains City PUMA, New York",13510,7692,5818,1877,885,992,11633,6807,4826,7664,3686,3978,899,482,417,6765,3204,3561,4358,2832,1526,912,337,575,3446,2495,951,1488,1174,314,66,66,0,1422,1108,314,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Westchester County (Southwest)--Yonkers City PUMA, New York",18931,10437,8494,3607,1573,2034,15324,8864,6460,8169,3479,4690,1144,0,1144,7025,3479,3546,8267,5058,3209,1732,994,738,6535,4064,2471,2495,1900,595,731,579,152,1764,1321,443,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",15488,8074,7414,2895,499,2396,12593,7575,5018,4420,2037,2383,853,223,630,3567,1814,1753,9047,4984,4063,1898,276,1622,7149,4708,2441,2021,1053,968,144,0,144,1877,1053,824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
