,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",Long Island,91.9144532597447%,92.6136998547324%,92.3429951690821%,3.83672039243168%,1.73215876472335%,1.62399694306458%,1.86903137789905%,1.91801841297676%,0%,2.38684980860167%,1.37548262548263%,0%,74241.235232305,87677.8851351351,52640.1164007324,8.25010855405992%,7.52688172043011%,0%,86.5510394767578%,83.4306641591607%,89.2051967902178%
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",Long Island,86.0521296884933%,93.3543196922001%,79.5904590459046%,17.3908629441624%,3.99898115129903%,25.4395809951365%,1.0567366964398%,2.85423037716616%,0%,11.1702127659574%,5.88235294117647%,11.8461973423806%,54596.9208037825,77521.9033345822,38995.1936669494,20.8739758095981%,0%,31.9117208470027%,47.8747203579418%,64.5695364238411%,37.2802095024317%
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",Long Island,67.1871657754011%,92.6303854875284%,43.2223830197781%,12.9969418960245%,6.03070175438597%,13.823767178658%,4.81622306717364%,0%,10.6941838649156%,11.779687997453%,2.93757649938801%,21.2053571428571%,80708.88252149,115552.876376989,49529.4642857143,0%,0%,0%,67.0366043613707%,55.8114035087719%,92.6839126919968%
"Suffolk County (Central)--Islip Town (East) PUMA, New York",Long Island,76.9611890999174%,71.4814814814815%,78.8851351351351%,5.69210866752911%,0%,12.4881740775781%,0%,0%,0%,6.22317596566524%,0%,12.4197002141328%,60706.7596566524,90718.9119170985,41940.4710920771,20.5128205128205%,30.1724137931034%,18.5303514376997%,73.0918499353169%,72.479240806643%,70.3878902554399%
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",Long Island,85.142112125163%,80.0627396305333%,84.4223732357554%,14.8731781184933%,1.28246232766912%,17.9882474939509%,0.762833077289824%,2.54444057162774%,0.529613605848128%,8.47115031238515%,1.74140182847192%,9.47368421052632%,41428.4282739189,51562.995211145,38963.354268023,19.1058394160584%,0%,20.6744868035191%,74.0493441303215%,91.631933311959%,71.681660899654%
"Suffolk County (East) PUMA, New York",Long Island,78.338978059196%,94.807821982468%,66.0135644310475%,20.4849609116205%,11.4632501685772%,15.4105974245303%,2.17358940002978%,0%,3.6674202461693%,21.9360902255639%,12.0910384068279%,13.3561643835616%,69518.6240601504,142340.469416785,53252.5114155251,47.7970627503338%,0%,38.1801125703565%,59.2325486460743%,81.2642802741813%,54.9926113573992%
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",Long Island,67.8811369509044%,70.0375704445836%,57.6923076923077%,14.7821707378494%,9.401137504182%,31.1608961303462%,4.66979828681956%,5.74243968739382%,0%,0%,0%,0%,136512.668443091,141059.803308002,110430.769230769,82.8125%,45.7746478873239%,100%,88.2145555275749%,94.5801271328203%,68.8391038696538%
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",Long Island,81.3024818063071%,82.8473413379074%,65.7560975609756%,18.1832298136646%,22.5615314494075%,11.8409680207433%,3.78815080789946%,5.56155507559395%,0%,12.3020426899243%,18.8405797101449%,0%,46246.1923341749,68799.5169082126,45583.0860534125,43.0107526881721%,61.3483146067416%,34.3416370106762%,72.5621118012422%,79.7174111212398%,75.7130509939499%
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",Long Island,91.8025841982631%,90.1840490797546%,91.5032679738562%,15.2155536770921%,2.5854108956602%,18.6968838526912%,9.56192080876158%,0%,15.8558558558559%,14.582371942778%,3.17460317460317%,20.3809523809524%,80568.2510383018,114008.276643991,39561.2380952381,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,100%
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",Long Island,77.9602420051858%,80.4960541149944%,92.2946655376799%,2.4399542508578%,0%,4.51977401129944%,1.42610198789974%,3.72040586245772%,0%,0%,0%,0%,95649.1796008869,117438.543417367,81376.1467889908,0%,0%,0%,81.0141059855128%,78.9802289281998%,79.0960451977401%
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",Long Island,89.2839864537978%,76.5128205128205%,91.7374517374517%,17.5492257694513%,34.8%,7.40098294304712%,6.96567276371837%,11.1794871794872%,4.10476935105551%,10.5830339872893%,26.9436997319035%,3.08159722222222%,42291.3031698727,36164.8793565684,46286.7845117845,35.3139770425388%,22.6148409893993%,20.2970297029703%,71.6880137640987%,71.7%,82.4804856895056%
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",Long Island,85.3479853479854%,100%,71.5541165587419%,21.8035214744117%,7.21452460582895%,30.6332842415317%,4.3778801843318%,4.83344219464402%,6.07834308869879%,13.0017672304973%,0%,11.1829347123465%,44592.3756627114,57525.4632807138,35056.1085972851,26.978417266187%,0%,39.198606271777%,86.2761230870495%,87.5776397515528%,78.8659793814433%
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",Long Island,92.9899497487437%,89.9297423887588%,90.9310761789601%,16.6895919303072%,2.83018867924528%,28.0254777070064%,1.09805924412666%,0%,2.70440251572327%,14.4015131045663%,0%,22.2074468085106%,54904.6473925966,82662.3263888889,40462.1675531915,7.11111111111111%,0%,9.95334370139969%,79.3672627235213%,87.7987421383648%,62.7678054429647%
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",Long Island,71.7886005954913%,85.9246427024686%,71.5294117647059%,16.6534574995047%,0%,14.4666428826258%,6.00294365012616%,7.62234733650931%,0%,8.87275959117168%,0%,14.2543859649123%,58020.0459191231,75819.5060483871,50997.5685307018,28.6751888436955%,0%,21.9477434679335%,65.9005349712701%,77.3209549071618%,62.4509454156261%
LONG ISLAND,,84.6603708926254%,88.9077981452904%,81.196856403468%,12.8103119796141%,4.85052663218405%,14.5468331395643%,3.66160058325388%,2.6371247113164%,3.6948960034074%,8.79373451397977%,2.40582205688851%,9.05254800482254%,67304.7899773056,95517.3889952308,49255.7086331992,24.6892610207426%,9.63448275862069%,28.2582117531991%,75.8454942223761%,81.6948429283231%,75.1890798786653%
"Dutchess County (North & East) PUMA, New York",Mid-Hudson,79.4895378247873%,68.4400360685302%,86.4413680781759%,27.9187817258883%,8.52173913043478%,27.630637079456%,6.88405797101449%,0%,11.5853658536585%,14.1669141669142%,0%,11.6084604033448%,50282.6844084466,72956.5217391304,47567.7814413566,0%,0%,0%,59.5875850340136%,89.4782608695652%,61.1191335740072%
"Dutchess County (Southwest) PUMA, New York",Mid-Hudson,76.3252770730405%,86.9062901155327%,62.5449317038102%,30.0638147010163%,9.67028103562735%,46.9522814350401%,1.59025787965616%,2.03426124197002%,1.40845070422535%,14.9105000922679%,0%,15.038115038115%,80577.1413575927,114439.042836041,35243.9540229885,45.4115421002838%,0%,53.3962264150943%,60.8957693216734%,76.3221951759239%,42.5983977708116%
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",Mid-Hudson,85.8342989571263%,84.1205211726384%,78.0597014925373%,11.3445378151261%,0%,4.10774410774411%,6.22827346465817%,0%,0%,10.0911238609517%,0%,5.83173996175908%,51617.833277084,65626.3310745402,33054.1491395793,13.4057971014493%,0%,29.0196078431373%,59.0706870983688%,94.919168591224%,48.4848484848485%
"Orange County (Northwest) PUMA, New York",Mid-Hudson,96.2700288941424%,100%,92.8679055750879%,7.57289700020978%,0%,12.5443786982249%,0%,0%,0%,1.69167803547067%,0%,3.35316387236344%,49299.6998635744,58053.4169278997,40810.0594916171,10.7093184979138%,0%,0%,79.5468848332285%,82.6586433260394%,84.2603550295858%
"Orange County (Southeast) PUMA, New York",Mid-Hudson,89.2537313432836%,95.7595276435856%,94.4710260499734%,7.17299578059072%,0%,4.31754874651811%,8.37837837837838%,4.36344969199179%,0%,0%,0%,0%,96260.8489837921,148122.365470852,54143.849184018,47.5319926873857%,20.9677419354839%,0%,70.771001150748%,70.11847301448%,84.447539461467%
"Putnam County PUMA, New York",Mid-Hudson,77.2462831286361%,81.1497849041846%,70.456333595594%,33.9468302658487%,23.3717901004838%,29.3165969316597%,5.92885375494071%,2.44181610072491%,11.3668061366806%,22.5523012552301%,9.25301204819277%,21.4963707426019%,55134.2887029289,71088.1927710843,45931.2674483529,74.9265014699706%,65.8153241650295%,74.3761996161228%,67.3348279045233%,79.679940454038%,68.2891705069125%
