,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",Long Island,83.4458807640363%,82.7943868212325%,84.0379732862347%,4.64730610513325%,0.606514414077125%,5.66914498141264%,5.05183169942305%,1.95292066259808%,8.43222985633979%,0%,0%,0%,89125.0460115607,112413.802505527,60941.3222120058,20.364500792393%,9.72388955582233%,22.8694052728388%,88.0409187415557%,90.1909397229502%,85.3856562922869%
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",Long Island,80.8582323443376%,85.8786457569984%,78.1155930162553%,7.1646979978219%,5.3475935828877%,7.75015242869724%,7.36831184998833%,5.06972690296339%,7.92819103246865%,1.16928841370845%,0%,1.99284338012662%,71074.835104493,90711.3345848622,59986.4624277457,16.5278191014579%,0%,20.8479737643476%,85.2434835746044%,86.884842519685%,85.1112398214712%
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",Long Island,82.4621426233897%,83.7428966364614%,81.6350947158525%,7.19583323332453%,4.09797456429581%,7.69321533923304%,5.66400473232771%,7.84980356603203%,3.98256687706643%,1.64874810592395%,0%,2.33268197361993%,74159.3005267335,83553.7580926181,68298.8373229116,31.026684758028%,6.83183183183183%,37.9243827160494%,88.7840342810371%,91.0369423322791%,88.8516708701135%
"Suffolk County (Central)--Islip Town (East) PUMA, New York",Long Island,83.991006183249%,89.6953166577967%,79.3899895724713%,5.26937463088129%,3.33552775949089%,5.91831935408011%,5.6996812135869%,4.82592881267862%,6.24263236123213%,1.03065185383483%,1.75776904249796%,0.466277007946411%,80186.8158546379,95727.8390565898,69313.4176134498,22.2222222222222%,24.6575342465753%,23.3692860811505%,84.3487071054139%,85.9776168531929%,83.7329442385046%
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",Long Island,84.7094801223242%,88.5431010740843%,86.8122977346278%,14.3543106584212%,3.09104081139821%,17.274024121385%,2.16410256410256%,0%,4.18650793650794%,2.96028880866426%,1.95956454121306%,2.7260018639329%,53252.4247894103,71503.5303265941,44078.541472507,19.6474358974359%,0%,27.1479185119575%,76.7511177347243%,85.8490566037736%,69.7237865379458%
"Suffolk County (East) PUMA, New York",Long Island,80.7393697569887%,81.4077749304836%,79.9991309637612%,8.58856962425008%,2.89651421059789%,12.9369996014926%,4.81859549870865%,3.625%,5.29136576281964%,1.21029205536248%,0%,2.22035794183445%,85897.0306936588,116859.696001607,61684.0497528651,32.940008822232%,29.6267190569745%,33.3436917339963%,81.8657488460926%,88.1881152023332%,76.478327607631%
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",Long Island,79.4922757249978%,78.3815156707755%,80.386983289358%,8.81734972347671%,6.0661505981703%,11.7800500834725%,2.63470862684109%,2.00338600451467%,3.45365721264758%,2.02674546349964%,0%,4.50260898838579%,99839.8242224495,125528.703102962,71256.7606463558,39.0614886731392%,62.5558035714286%,0%,91.2379793061473%,90.357983984927%,92.7737951964837%
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",Long Island,84.3113964686998%,87.8943331095982%,77.2904483430799%,5.82237288135593%,1.78571428571429%,12.8225677191858%,4.14441984633416%,4.42783208740656%,3.55541972290138%,2.43688839812664%,0.190912562046583%,7.62925598991173%,113441.164680349,136932.826487754,59131.8789407314,11.2247071352503%,2.95469468154957%,26.5009096422074%,85.2782715711746%,85.9044312169312%,83.9788875355258%
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",Long Island,81.5479809721378%,81.0865423474395%,82.9165852705607%,4.51394956025395%,3.61798888327438%,5.78541874732487%,3.03892597862172%,1.21653050271334%,5.21593374087951%,1.71052631578947%,0.590957636169455%,3.61644481093179%,111902.170570175,135543.109077964,75354.7558016256,0%,0%,0%,94.0652992151256%,95.8211217786761%,91.3717921223819%
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",Long Island,80.6782442226173%,83.8915857605178%,77.5064405324174%,5.47368421052632%,5.9727681078046%,3.94426074633916%,4.7022662629599%,5.81540317715665%,3.3177698434496%,1.71751412429379%,2.41103288648857%,0.747870646077141%,101534.926779661,114148.977143408,83262.5109064469,32.2784810126582%,34.0867992766727%,7.03517587939699%,94.5042381233984%,95.592363840539%,95.1085671034581%
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",Long Island,84.0641737386583%,85.1722802942315%,84.1792786300148%,12.1980540215635%,9.58609271523179%,10.2677281206484%,4.62410501193317%,6.23394586050188%,3.76799614245368%,5.68089075434301%,4.5%,4.92151733158928%,66589.2447560585,94948.5113636364,57841.3963064128,27.6476476476476%,38.9333333333333%,25.0324628480739%,80.6919853524104%,90.6382624615128%,81.1439842209073%
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",Long Island,87.0550161812298%,88.8377657127082%,87.4916201117319%,3.96481659715538%,1.67796063246208%,5.35990379659852%,6.88660899886006%,5.77100646352724%,7.60262997955688%,0%,0%,0%,73136.5049566295,86141.9743111664,66439.0897133006,2.02800579430227%,0%,2.9650547123191%,77.3126211501185%,80.7739109272329%,75.2657965251967%
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",Long Island,82.6092292587138%,81.338835396607%,83.611859838275%,5.69650671590823%,4.90862230552952%,6.4523610724557%,2.76165454878719%,1.87051307383258%,3.65566037735849%,1.29995543009954%,1.19181832823321%,1.44709506411634%,81536.7523399198,97568.4296988243,68926.8758507056,2.51736111111111%,3.86940749697703%,1.7603249830738%,88.2798449808759%,90.2589034676664%,86.2312444836717%
