,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",Long Island,94.0256615878108%,100%,86.9755244755245%,18.384074941452%,0%,20.2836879432624%,5.8411214953271%,8.68544600938967%,6.64335664335664%,14.5842217484009%,0%,0%,38759.0618336887,48761.6966580977,40883.7209302326,0%,0%,0%,83.8700234192038%,84.006334125099%,75.2482269503546%
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",Long Island,91.7820324005891%,87.1641791044776%,90.9310761789601%,19.2745565263437%,3.42465753424658%,28.0254777070064%,1.29090363254278%,0%,2.70440251572327%,17.1052631578947%,0%,22.2074468085106%,47010.0449293967,64597.0319634703,35615.2830188679,7.64635603345281%,0%,9.95334370139969%,77.8395552025417%,85.2359208523592%,62.7678054429647%
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",Long Island,70.8410229369892%,78.9644012944984%,76.3785046728972%,20.8534921225654%,0%,17.7422883395318%,7.42136729919418%,11.3915857605178%,0%,11.1462597692594%,0%,15.9070052003671%,54590.1618905843,69447.6229508197,57439.2376681614,36.4206642066421%,0%,33.6489439184268%,66.3813422652276%,65.7543391188251%,69.962809013345%
LONG ISLAND,,86.2101832708414%,89.5698493613609%,84.3484942947036%,13.7144795585198%,4.78633621337968%,14.9220127831493%,3.9282676297918%,3.21974371143806%,3.49566090511368%,9.84887284670227%,2.60689772775717%,9.20310781078108%,58991.0944483737,82461.9480752014,39596.8247854175,23.6526083197233%,4.90310950878774%,25.246833309252%,74.629074718849%,81.2961938760119%,74.0248204768935%
"Dutchess County (North & East) PUMA, New York",Mid-Hudson,80.7400667273279%,77.7901785714286%,85.9616573902288%,35.9085963003264%,10.4589114194237%,39.4884910485934%,7.66944114149822%,0%,14.453781512605%,18.5458786936236%,0%,18.1538461538462%,43470.788880541,74375.8967001435,43603.1128404669,0%,0%,0%,50.8488499452355%,87.0864461045891%,49.7151734852408%
"Dutchess County (Southwest) PUMA, New York",Mid-Hudson,75.9382523721853%,88.4564469155414%,57.8478964401295%,31.5439672801636%,8.46225972808251%,52.6356891839125%,0.540457072266831%,0%,1.60919540229885%,15.9526159921027%,0%,19.1526919682259%,83824.8675867214,114563.352289734,27899.0111248455,41.7574692442882%,0%,44.6188340807175%,62.6150306748466%,76.6526019690577%,47.7547832877782%
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",Mid-Hudson,84.4178082191781%,83.6382113821138%,76.7955801104973%,13.3313970374673%,0%,4.32011331444759%,0%,0%,0%,12.1298174442191%,0%,6.26927029804728%,49493.1602434077,65687.7278250304,33758.1395348837,16.2280701754386%,0%,32.0809248554913%,60.2672088295091%,93.2926829268293%,50.9915014164306%
"Orange County (Northwest) PUMA, New York",Mid-Hudson,95.0314905528342%,100%,91.1416094822208%,10.4274985557481%,0%,17.1059709521248%,0%,0%,0%,2.28276877761414%,0%,4.24366872005476%,44070.5081001473,54352.0373514431,28859.2833876221,13.2758620689655%,0%,0%,75.8521086077412%,77.5336640680369%,78.536847767617%
"Orange County (Southeast) PUMA, New York",Mid-Hudson,92.697327532629%,97.0076548364649%,96.6592427616926%,4.21082784302492%,0%,0%,8.91858297078931%,0%,0%,0%,0%,0%,101806.486758297,164404.088952654,46746.7873831776,33.8709677419355%,0%,0%,62.2457748496133%,58.9776357827476%,83.7801608579088%
"Putnam County PUMA, New York",Mid-Hudson,73.7966658840103%,80.0107469102633%,63.6653895274585%,50.0631047538915%,32.6233766233766%,45.6957547169811%,3.13850352513077%,3.32467532467532%,4.51219512195122%,34.2984409799555%,12.8945601074547%,38.6158475426279%,48419.5672923958,73559.9731363331,23890.5777777778,87.0789341377577%,73.6979166666667%,100%,57.0038910505837%,80.051948051948%,54.3042452830189%
"Rockland County (North)--New City & Congers PUMA, New York",Mid-Hudson,81.2797655391379%,71.4938030006523%,87.1425018652077%,20.1802593976698%,12.937595129376%,10.1519337016575%,3.38052233341469%,0%,0%,10.3515625%,0%,3.93835616438356%,56453.2557091346,90350.1824817518,31248.1985588471,45.0903377847604%,0%,28.5572139303483%,70.6648994919373%,69.8934550989346%,74.0697674418605%
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",Mid-Hudson,94.8529411764706%,94.6553059643687%,93.5678391959799%,11.3495985176035%,0%,5.27914925939992%,0%,0%,0%,12.1583027335781%,0%,0%,98527.9579763362,91738.6047463175,20852.6838966203,57.7511643379907%,43.2432432432432%,22.2996515679443%,76.2821524380622%,89.7443794271636%,76.9847634322374%
