,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,
,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"Dutchess County (Southwest) PUMA, New York",6980,4278,2702,111,35,76,6869,4243,2626,3736,1923,1813,76,0,76,3660,1923,1737,2485,1683,802,35,35,0,2450,1648,802,759,672,87,0,0,0,759,672,87
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",3452,1645,1807,215,215,0,3237,1430,1807,1228,568,660,0,0,0,1228,568,660,1340,408,932,0,0,0,1340,408,932,884,669,215,215,215,0,669,454,215
"Orange County (Northwest) PUMA, New York",3807,1646,2161,0,0,0,3807,1646,2161,1595,519,1076,0,0,0,1595,519,1076,1991,906,1085,0,0,0,1991,906,1085,221,221,0,0,0,0,221,221,0
"Orange County (Southeast) PUMA, New York",4440,2446,1994,372,287,85,4068,2159,1909,1948,1185,763,85,0,85,1863,1185,678,1881,714,1167,0,0,0,1881,714,1167,611,547,64,287,287,0,324,260,64
"Rockland County (North)--New City & Congers PUMA, New York",8755,4152,4603,277,277,0,8478,3875,4603,3159,1355,1804,0,0,0,3159,1355,1804,4217,2017,2200,0,0,0,4217,2017,2200,1379,780,599,277,277,0,1102,503,599
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",5465,2631,2834,0,0,0,5465,2631,2834,2761,1476,1285,0,0,0,2761,1476,1285,2029,793,1236,0,0,0,2029,793,1236,675,362,313,0,0,0,675,362,313
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",9108,5143,3965,296,296,0,8812,4847,3965,2517,1651,866,0,0,0,2517,1651,866,5306,2729,2577,296,296,0,5010,2433,2577,1285,763,522,0,0,0,1285,763,522
"Putnam County PUMA, New York",6578,3265,3313,390,74,316,6188,3191,2997,2621,913,1708,64,0,64,2557,913,1644,2868,1651,1217,326,74,252,2542,1577,965,1089,701,388,0,0,0,1089,701,388
"Westchester County (Northwest) PUMA, New York",11719,5395,6324,1128,284,844,10591,5111,5480,5338,2449,2889,357,216,141,4981,2233,2748,5416,2405,3011,537,68,469,4879,2337,2542,965,541,424,234,0,234,731,541,190
"Westchester County (Northeast) PUMA, New York",8314,4131,4183,289,220,69,8025,3911,4114,4306,1759,2547,154,85,69,4152,1674,2478,2743,1107,1636,135,135,0,2608,972,1636,1265,1265,0,0,0,0,1265,1265,0
"Westchester County (Southeast) PUMA, New York",15878,9828,6050,825,0,825,15053,9828,5225,7086,4408,2678,287,0,287,6799,4408,2391,6426,3586,2840,538,0,538,5888,3586,2302,2366,1834,532,0,0,0,2366,1834,532
