,,Unemployment %,,,Full Time Work Access,,,Poverty,,,Working Poor,,,,Income,,
Total GEOG-101,Overall,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,HSINC,Overall,BABS,HS
"Niagara County (North & East) PUMA, New York",Western NY,5.63159953070004%,3.44497607655502%,4.06258578094977%,76.2121511973085%,91.8731417244797%,69.908651262762%,38.3453636868406%,40.431654676259%,37.286900772257%,,,,,46186.7073487406,80165.1564185545,36540.7033051499
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",Western NY,10.0642398286938%,0%,17.4461766889384%,46.7741935483871%,100%,62.027972027972%,59.3493552168816%,0%,66.8316831683168%,,,,,32828.6613616269,25000,35721.7767756482
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",New York,14.3774862253848%,9.85767615492301%,15.618404390038%,84.3563878306594%,86.5220661985958%,87.7172995780591%,35.3736981825608%,7.7266127359469%,33.2347514651617%,,,,,44428.4955634004,65451.9310244892,40050.7580932224
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",New York,13.5974400576888%,9.35708752904725%,13.0054046658001%,86.956722340131%,85.3265084535443%,89.0530886678807%,27.655784317084%,4.8384695548608%,29.7708709027262%,,,,,47118.0400063671,64198.3821123432,39686.7636649626
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",New York,9.96700816113909%,2.42233474750239%,12.0351349436849%,93.9121756487026%,92.4122624497157%,95.3273460887674%,21.5884427563755%,10.2518215518343%,21.2404418011895%,,,,,47647.5854587318,65623.0261182828,40712.51160568
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",New York,11.2641567187022%,3.94324672931638%,12.4872355944566%,90.3225806451613%,92.5277620929795%,90.0462593715106%,27.6587210634884%,6.19733146067416%,33.6510773508092%,,,,,50980.9372686899,57386.039462978,44742.0372010629
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",New York,8.40441113121392%,0%,11.8593476994758%,84.8560485432715%,78.6063968668407%,85.8933020665397%,23.3367967003558%,8.89628236655576%,23.6208520883492%,,,,,45919.2996247084,62468.9952252439,43297.0906919205
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",New York,10.7443142660234%,0%,11.662635398044%,78.7046481130701%,91.9188667095943%,78.0724523191514%,56.5035633236454%,13.524914315845%,57.2670176996765%,,,,,34585.4360825697,53219.4276707531,29547.2679965308
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",New York,5.19607339260934%,5.67989864864865%,4.73076923076923%,87.5243050081455%,91.0721649484536%,87.103694874851%,26.9532463497981%,10.4139834406624%,23.1447376366161%,,,,,40122.5259681777,46229.7758659724,37698.7821565408
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",New York,15.2996206401238%,10.6183522624842%,18.4057116656842%,69.2662059888121%,78.7212585720048%,65.5744996293551%,53.2570298148933%,17.7606177606178%,51.1998361998362%,,,,,40706.7529691211,56150.3817576223,43644.2889441556
