,,Unemployment %,,,,Full Time Work Access,,,,Poverty,,,,Working Poor,,,,Income,,,
Total GEOG-101,Overall,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",Long Island,4.31916267373501%,3.97993981945838%,6.26966292134832%,0%,76.1071369156546%,75.2681388012618%,81.1399647887324%,65.5629139072848%,5.11801443750507%,3.89076444830698%,7.91460935230903%,100%,2.87662848649121%,1.802179379715%,5.83129915920803%,100%,158196.3,172238.5,89262.7,18000
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",Long Island,7.4493268234946%,6.34014628477681%,8.2075430180874%,14.7297943567671%,85.5837697321328%,87.2639360919379%,83.4513274336283%,85.706940874036%,12.8633986133074%,4.76660599142319%,19.4262878043824%,30.7993730407524%,5.11742565976273%,3.09563960491448%,7.03605514316013%,13.6172765446911%,102347.8,146257.9,51455.9,22081.5
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",Long Island,7.27211147667892%,4.02296292999867%,11.8649808083089%,0%,80.4556442751447%,78.2294133122862%,82.6151034604728%,92.3986486486487%,6.40940742078542%,2.89826653070829%,9.96171993234221%,11.6104868913858%,2.3369449755683%,0%,5.24475524475525%,3.19926873857404%,96139.9,110091.2,74312.7,148225.8
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",Long Island,2.79209621993127%,2.30346092138437%,1.99307668100283%,35.3424657534247%,87.9517752343522%,91.3598797896319%,85.3721781574131%,75.9475218658892%,9.48930597992143%,6.98273250530142%,10.7119529719138%,22.463768115942%,2.51578052925467%,1.03744939271255%,3.98227438768789%,0%,75557.9,85841,65983.6,72115.4
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",Long Island,5.97240817276908%,6.00753982731363%,6.17312601531678%,0%,84.1842397336293%,86.2773546125015%,81.5217391304348%,100%,6.415%,3.57950471568033%,7.36023659606945%,41.3259668508287%,1.84227873573188%,1.44338565022422%,1.2972972972973%,21.4497041420118%,87075.6,116335.1,59458.5,36184.3
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",Long Island,5.8313551450098%,5.06578947368421%,6.73333842278036%,5.59895833333333%,80.1779270427668%,85.3922696811751%,74.6857737571051%,68.551724137931%,10.814313891237%,3.000394788788%,16.4007853724383%,43.3264887063655%,0.409963905351811%,0%,0.986172151355987%,0%,83354.6,100611,61859.7,48821.5
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",Long Island,4.96921723834653%,0.831713112983366%,9.63195900302819%,0%,83.3306006449145%,88.5205713067576%,79.0068124775905%,60.492700729927%,7.08495129095988%,4.23218701880454%,9.1882458374605%,18.8612099644128%,2.30865088214075%,2.64298615291993%,2.00438696013917%,0%,91820.9,108945.3,73071,36700.5
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",Long Island,3.94195005313496%,2.59906500445236%,6.24891511890297%,0%,79.7740738329318%,79.7730417935234%,80.24270634195%,70.7395498392283%,6.31262255889543%,3.45740767985876%,7.64679967272956%,45.4065469904963%,1.33034074678637%,0.860453819998612%,0%,45.9090909090909%,98793.5,126740.9,60713.4,18966.5
"Niagara County (North & East) PUMA, New York",Western NY,5.29562355235889%,5.29391834660342%,5.2394611669874%,6.23501199040768%,78.2460861056751%,86.2753523547611%,74.8669490604974%,78.18853974122%,23.9956530259571%,11.9877355668561%,22.7252735880785%,75.0608865075499%,7.89070559914965%,3.93465484610021%,7.98878088882441%,37.5886524822695%,52502.9,73457.2,43867.6,27451.5
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",Western NY,6.04887199961518%,3.22173089071383%,5.02024022828323%,21.1914893617021%,80.3608406921667%,82.2650602409639%,81.2485767266339%,65.8708809683927%,19.4759894563688%,2.90570805099345%,21.72882890078%,33.7234296632434%,8.72578638706238%,1.44991212653779%,10.7987987987988%,7.65696784073507%,47415.9,66394.3,42807,40026.6
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",New York,14.0586797066015%,9.04323630136986%,15.513342379014%,15.4741526874358%,84.8486423281798%,87.7114769090078%,87.9406769128796%,67.0418006430868%,35.5020027362487%,7.15383138083349%,33.9617130871147%,63.5583796664019%,15.1773136522325%,1.26417307441679%,15.3900508762012%,42.4193978150813%,46206,71209.7,40029.7,30020.3
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",New York,13.0254968881751%,10.3443743427971%,12.1592898224556%,39.3543428132206%,87.0385697732164%,84.575974113523%,89.3037853071159%,71.9576719576719%,27.6770023530813%,6.77344418633085%,29.224868601733%,60.0233918128655%,9.28109547356409%,3.71433126095967%,9.94764397905759%,40.6862745098039%,48322,65980.5,40902.4,39352
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",New York,7.25078102811701%,3.24583052875626%,8.43301732267831%,24.822695035461%,94.8334204517318%,94.2323682818051%,95.7527704363147%,87.1860914359305%,17.6773269067935%,8.64113397846531%,17.5322038903038%,49.4874184529357%,8.69716573351513%,5.72757901492058%,9.07946346423902%,30.2067946824225%,55369.3,65987.8,50235.6,35905.2
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",New York,10.6433116016024%,3.86057492014998%,17.5780074245009%,36.779505946935%,86.8068276436303%,87.2524752475248%,86.5907797381901%,80.1736613603473%,20.1504181750094%,3.93497136523185%,34.2648229928328%,54.4678714859438%,3.49143925950794%,0.788022064617809%,6.63862232154595%,22.2021660649819%,84515,107387,49562,40547.7
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",New York,8.24551983354588%,1.26567844925884%,12.0879120879121%,7.51633986928105%,84.0532673068558%,77.9546445704318%,86.3859436534384%,88.1947743467934%,23.8193270102689%,7.72872186262197%,25.2665876777251%,43.2258064516129%,10.4966860975805%,2.75618374558304%,15.3177163697573%,6.7330999192028%,50110.7,69940.1,45550.7,29436.6
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",New York,10.8490566037736%,1.50486869282974%,11.6052741732943%,23.7467018469657%,78.4313725490196%,89.0952666267226%,78.3606192226306%,58.5559977259807%,56.7521234317775%,16.3886162904809%,57.6829496537526%,83.6540190613199%,27.2282608695652%,2.21923335574983%,33.2717453098351%,58.1553398058253%,34465.7,52736.9,29332.7,16773.8
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",New York,6.64786083685943%,11.0435497124076%,4.56773618538324%,7.3794305636258%,86.9104861819418%,90.1950891355533%,86.2518200628401%,80.0501882057717%,26.4982861266462%,13.9746178252091%,22.5139500734214%,67.678381256656%,13.132893707388%,8.0551929889987%,13.9848956019547%,26.9592476489028%,41742.9,49664,38188.3,39803.8
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",New York,15.0507246376812%,10.1885486939976%,18.1501098049348%,11.9141549629162%,69.6504173218822%,79.6802773497689%,65.8130229174245%,69.7646657571624%,53.0901070624454%,17.0600134861767%,51.4732673267327%,73.7119248217758%,19.1501678823666%,5.55958423978729%,11.5962856511165%,49.5966756294305%,41196.9,56934.1,43757.5,19621
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",New York,7.90072328511433%,7.52668552139403%,7.9439469166164%,9.68468468468469%,78.5931174089069%,81.5924170616114%,76.0668513215342%,91.3268236645606%,10.1089531027949%,4.2000172131853%,9.50590762620838%,42.1190565331337%,4.68696674377157%,1.56830855018587%,3.5857557242486%,33.3333333333333%,63074.6,85024,55170.2,24794.9
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",New York,12.0311738918656%,1.74376362315331%,10.230941147256%,40.3617115130128%,72.8160025741406%,69.631483166515%,72.5460636515913%,80.2682821289485%,51.4461931093152%,16.5409482758621%,52.4700466269256%,82.4942992457464%,23.4128737663868%,1.86213655668082%,19.5682290464096%,76.9272237196766%,41419.4,51998.7,41066.6,25610
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",New York,8.49922185315091%,2.21557267460368%,11.85444592038%,14.6341463414634%,79.71959569612%,86.3522664877067%,77.2652793708013%,56.8618266978923%,21.658185234479%,7.18578941719438%,22.8423252573729%,56.2248995983936%,4.48144902132632%,2.40921294333757%,4.89873820379599%,22.158154859967%,66402.3,80813.3,57238.2,40767.6
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",New York,4.19123758261764%,3.36123463248758%,6.215075835329%,0%,84.90245971162%,87.4124950468895%,82.7522737115635%,73.2692307692308%,15.7887836376151%,5.32303199902665%,23.5752182098237%,49.769392033543%,4.28662246844065%,1.14838319734059%,9.43346853329844%,6.21172353455818%,60621.8,74759.7,41741.2,23154.8
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",New York,3.48149234756247%,1.13672922252011%,4.42849820604818%,12.691466083151%,79.4466595351551%,82.536860817735%,74.5054048541709%,95.2380952380952%,17.277848446302%,9.49560066207858%,20.3734529926902%,38.2604776926543%,4.6208458289981%,1.01355631572279%,5.7897618395839%,22.1052631578947%,70863.5,85246.5,59398.9,44753.5
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",New York,4.57243816254417%,3.04837237602677%,7.09048640915594%,0%,85.6009869580543%,83.1622911694511%,88.4435904474335%,100%,14.97600714206%,6.81416848447076%,19.6608083156671%,60.0406710726996%,6.94255713403335%,3.87430047352561%,8.05917649493069%,53.8913362701909%,80977.4,94289.1,66249.1,17578.7
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",New York,11.6202054076713%,13.122068413225%,11.8121622650126%,3.69620253164557%,81.9598725566176%,84.603308779133%,80.2327373612824%,82.2244794311834%,20.3204500205417%,16.4253085819808%,15.5667748527467%,45.5894826123834%,7.87455347762135%,10.0057093919498%,1.92104504850639%,36.9363804817789%,55022,61009.6,55630.7,25196.8
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",New York,4.80929253133173%,3.70125578321216%,6.81257936804362%,1.417004048583%,66.6024471033597%,74.729916334985%,64.1559026734755%,49.5579691841374%,33.2847229206477%,11.3311101847992%,41.4358335926963%,59.327868852459%,17.0870337477798%,1.95652173913044%,29.2286082172539%,35.1681957186544%,64545.6,81479.7,52227,38777.9
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",New York,11.8983408571261%,8.56390694675764%,13.6885056586342%,27.3487261146497%,82.2916980110132%,84.9405618636388%,80.1684411250596%,70.1271186440678%,20.1714811572734%,9.76418737789086%,24.5619816554073%,54.5538390592576%,7.15225976305397%,4.2864315300615%,7.90882061446977%,35.8761329305136%,66727.1,82380.2,48162.1,19826.6
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",New York,4.92969724458555%,1.36503742844562%,7.86530662406292%,25.2997601918465%,81.3406631360811%,82.1409330891068%,82.1479374110953%,43.1564245810056%,25.1782862027851%,6.76558738269543%,34.6977005572987%,87.6502732240437%,8.31180779165635%,1.57408014691415%,14.1676505312869%,100%,56230.3,70291.8,40442.8,11520
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",New York,8.84127862545129%,6.74789128397376%,10.4850141757797%,11.7542297417631%,84.1854454405945%,84.2230271361558%,84.2822232621016%,81.8521983161834%,18.5171324018629%,6.42211762159823%,21.3985800442782%,61.8740849194729%,6.27458505228821%,1.76254935138184%,9.33374460209747%,22.7428571428571%,59796.9,73140.6,47348.9,74100.1
