,,NB,,,,,,,,,,,,FB,,,,,,,,,,,
,,BABS,,,,,,HS,,,,,,BABS,,,,,,HS,,,,,
,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,
,NYS Regions,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",New York,9344,3630,5714,845,349,496,26532,11942,14590,4116,2482,1634,4050,2005,2045,0,0,0,8254,5586,2668,737,649,88
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",New York,39757,20640,19117,1115,911,204,14704,9866,4838,911,704,207,5532,2368,3164,776,186,590,4278,2651,1627,183,79,104
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",New York,16435,7750,8685,501,150,351,11184,6787,4397,793,313,480,9210,4917,4293,396,275,121,6584,3762,2822,335,222,113
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",New York,8741,3866,4875,1147,676,471,13139,6487,6652,1552,446,1106,16506,8054,8452,625,588,37,11406,5435,5971,794,231,563
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",New York,12104,6689,5415,448,215,233,13387,7185,6202,912,446,466,4022,2943,1079,43,43,0,5570,2963,2607,241,177,64
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",New York,3889,1797,2092,0,0,0,7596,3879,3717,752,630,122,6862,3241,3621,370,370,0,5657,2999,2658,233,0,233
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",New York,18613,8687,9926,1594,982,612,12989,7103,5886,1778,1045,733,8025,3290,4735,863,393,470,9790,6224,3566,702,702,0
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",New York,9325,4990,4335,106,106,0,9755,4603,5152,432,149,283,13297,6314,6983,438,63,375,8749,4603,4146,598,218,380
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",New York,4350,1807,2543,357,86,271,14513,4517,9996,918,110,808,824,452,372,0,0,0,1608,730,878,29,29,0
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",New York,11275,3723,7552,767,142,625,11910,5673,6237,1899,1000,899,1958,385,1573,69,0,69,5792,2904,2888,444,163,281
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",New York,17072,7075,9997,1152,367,785,19752,10587,9165,2071,948,1123,7277,2732,4545,224,53,171,10160,5449,4711,922,689,233
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",New York,39207,19855,19352,1832,1068,764,11168,5124,6044,1013,370,643,4504,2080,2424,192,55,137,2207,1730,477,150,78,72
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",New York,16436,5981,10455,347,258,89,20329,9662,10667,3175,1681,1494,1709,1069,640,19,19,0,3195,2173,1022,568,450,118
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",New York,15748,6901,8847,1597,550,1047,16405,8450,7955,2360,1023,1337,1554,1019,535,61,61,0,5321,3400,1921,310,310,0
